source	target	p	cov	Disease_outcome	effect	group	group_type	source_type	tense	class
Vibrio phage vB_VchM-138	Vibrio alginolyticus	0	0.010063289	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.010063289	1
Vibrio phage VpKK5	Vibrio parahaemolyticus	0	-0.015376589	Diseased	Secondary-phage-effect	facilitator_associated_phage	1	phage	0.015376589	-1
Vibrio phage VPp1	Vibrio parahaemolyticus	0	-0.002614763	Diseased	Secondary-phage-effect	facilitator_associated_phage	1	phage	0.002614763	-1
Xanthomonas phage phiL7	Xanthomonas campestris	0	-0.014313485	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.014313485	-1
Xanthomonas phage Xp15	Xanthomonas campestris	0	-0.008172825	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.008172825	-1
Yersinia phage vB_YenM_TG1	Yersinia enterocolitica	0.021	-0.001112722	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.001112722	-1
Yersinia phage vB_YenP_AP5	Yersinia enterocolitica	0	-0.011348342	Diseased	Secondary-phage-effect	inhibitor_associated_phage	-1	phage	0.011348342	-1
Achromobacter xylosoxidans	RS	0	-0.026751217	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.026751217	-1
Aeromonas hydrophila	RS	0	-0.015143288	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.015143288	-1
Aeromonas salmonicida	RS	0	-0.055563413	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.055563413	-1
Arthrobacter sp.	RS	0	-0.002139724	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.002139724	-1
Bacillus thuringiensis	RS	0	-0.007308229	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.007308229	-1
Bdellovibrio bacteriovorus	RS	0.042	-0.003199732	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.003199732	-1
Brucella abortus	RS	0	-0.010481726	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.010481726	-1
Burkholderia cenocepacia	RS	0	-0.023507894	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.023507894	-1
Burkholderia cepacia	RS	0	-0.018701189	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.018701189	-1
Caulobacter vibrioides	RS	0	-0.003211987	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.003211987	-1
Celeribacter marinus	RS	0	0.003820301	Diseased	Primary-bacterial-effect	facilitator_bacteria	1	bacteria	0.003820301	1
Cronobacter sakazakii	RS	0	-0.017157566	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.017157566	-1
Cronobacter turicensis	RS	0	-0.010075346	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.010075346	-1
Delftia sp. 670	RS	0	-0.01990747	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.01990747	-1
Edwardsiella tarda	RS	0	-0.017408509	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.017408509	-1
Enterobacter cancerogenus	RS	0.001	-0.032886791	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.032886791	-1
Enterococcus faecalis	RS	0	-0.021831426	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.021831426	-1
Gordonia malaquae	RS	0	-0.014629349	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.014629349	-1
Klebsiella pneumoniae	RS	0.001	-0.011046814	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.011046814	-1
Lactococcus lactis	RS	0	-0.036570882	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.036570882	-1
Microbacterium oxydans	RS	0	-0.030677196	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.030677196	-1
Nocardia brasiliensis	RS	0	0.011345561	Diseased	Primary-bacterial-effect	facilitator_bacteria	1	bacteria	0.011345561	1
Prochlorococcus marinus	RS	0	-0.003048731	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.003048731	-1
Pseudoalteromonas marina	RS	0.046	-0.008410991	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.008410991	-1
Pseudomonas fluorescens	RS	0	-0.008032884	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.008032884	-1
Rhizobium gallicum	RS	0	-0.00834679	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.00834679	-1
Rhodobacter capsulatus	RS	0	-0.011026056	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.011026056	-1
