ID	H-0-2	H-0-3	H-0-4	H-0-5	H-3-2	H-3-3	H-3-4	H-3-5	H-4-2	H-4-3	H-4-4	H-4-5	H-5-2	H-5-3	H-5-4	H-5-5	H-6-2	H-6-3	H-6-4	H-6-5	D-0-1	D-0-2	D-0-3	D-0-5	D-3-1	D-3-2	D-3-3	D-3-5	D-4-1	D-4-2	D-4-3	D-4-5	D-5-1	D-5-2	D-5-3	D-5-5	D-6-1	D-6-2	D-6-3	D-6-5
vOTU19	38219.47	52600.6	55063.29	48944.67	5313.37	5581.25	5482.96	5071.49	6257.07	5241.52	5059.28	5091.23	6367.11	7075.24	6570.48	5273.79	3479.2	2223.08	3958.42	3287.82	23030.3	26777.67	34125.9	31230.51	3842.62	3712.89	3654.99	4596.59	3791.67	4074.85	4162.35	5147.37	2756.07	2700.54	1981.06	2710.86	2368.24	4113.92	3193.69	3816.14
vOTU2	5470.6	5874.02	6498.89	5762.89	30321.65	35013.96	34944.71	33060.18	38758.14	36597.44	31142.38	26023.82	33203.74	38222.53	40314.71	41411.24	33069.49	22274.91	32431.92	30139.32	8341.61	8473.49	14577.28	11057.75	21900.29	29067.13	25696.08	27771.84	29966.61	35712.17	30612.84	33232.14	25548.04	26402.4	18651.53	26435.78	15981.89	22751.59	20218.08	25659.02
vOTU20	6.68	0	9.03	0	11588.42	12900.66	12767.07	11199.69	13444.42	13608.26	12507.28	11140.22	15475.5	15559.02	19532.56	22275.02	15559.38	11074.81	13618.51	12776.53	0	36.28	0	0	15329.74	16248.94	15159.47	17923.34	21818.03	23013.23	25006.52	22864.03	25917	27887.17	18983.5	26270.62	20020.22	26651.73	24030.49	26592.25
vOTU21	0	86.32	0	0	21812.51	19029.7	16801.41	14552.14	17745.48	16771.07	17574.54	11543.79	7713.43	8886.59	14558.28	16247.39	10787.96	8581.91	12863.34	10898.87	0	33.14	43.12	18.38	54188.95	59936.25	61673.69	68028.4	64462.99	76491.31	69309.9	73714.69	24487.33	23831.01	17216.87	27504.15	17492.27	21903.45	19234.2	22186.33
vOTU22	33.75	56.86	13.04	25.64	29806.24	34362.18	32548.64	30315.66	33473.76	34466.99	30762.61	25872.35	36353.24	38747.44	45260.42	49138.96	34361.46	23871.12	33456	31013.84	45.42	58.93	68.16	108.95	24983.28	29194.89	27872.02	31601.4	30939.78	34166.72	31083.19	32184.67	29601.36	31411.33	22762.21	30699.84	22324.03	33025.88	30327.23	32062.38
vOTU23	31352.79	33292.8	37157.24	39910.13	135.09	23.75	117.58	100.75	235.49	321.88	255.45	188.37	252.86	114.1	185.28	364.23	10.18	26.55	27.99	0	15290	16489.83	21135.31	21622.75	61.88	119.63	9.69	74.02	75.96	184.13	60.3	0	29.04	0	61.02	0	80.35	61.25	124.8	72.51
vOTU24	13739.39	13828.69	9699.13	7832.96	25789.86	16578.74	12984.56	20133.2	5810.58	8763.78	14651.64	11172.41	10940.27	5825.95	3774.71	3446.28	4897.96	33839.76	7886.44	10155.76	48576.99	37850.92	19867.36	20306.84	19848.4	12408.45	20771.12	14245.75	12559.37	12827.69	14571.29	6395.47	29064.86	29524.53	45849.07	30383.3	17851.1	11741.64	13695.12	13643.6
vOTU25	32230.21	46918.05	44878.71	99014.38	50.6	28.91	36.7	59.47	57.34	54.05	23.04	48.28	45.61	84.19	106.15	161.25	74.39	91.58	37.87	43.2	51.09	62.15	53.91	15.32	43.94	0	78.62	67.59	35.23	61.53	40.78	50.57	47.15	23.37	45.39	61.35	84.78	49.71	38.96	92.48
vOTU26	7.43	43.84	0	19.77	40222.23	45272.88	44453.18	40036.09	34299.95	37364.03	34677.58	29491.5	33836.84	36012.4	40168.22	41031.5	36121.14	23313.27	32573.05	32187.31	18.67	20.19	52.55	0	23697.42	24785.02	25572.75	29247.43	30965.54	33362.95	30824.96	31583.68	26386.91	22962.44	18600.44	27175.97	17286.12	24575.83	22542.39	24926.2
vOTU27	18791.05	26692.75	14018.09	16655.51	8955.76	9497.2	19393.81	16859.84	15180.77	6198.54	13111.04	10731.3	9362.26	9225.24	2104.02	3272.17	14324.38	7230.67	4824.89	8501.04	14160.48	13257.87	19006.62	11387.46	13491.97	16248.8	8481.28	9887.7	15112.11	10454.37	11917.37	12543.67	14617.79	11383.25	12374.7	13223.87	7811.4	6545.14	12509.1	13926.21
vOTU28	13709.34	13527.95	9088.27	6480.96	22457.92	13513.27	8459.68	19572.7	1785.43	4781.73	12589.66	7867.71	7790.37	2954.55	1683.55	1188.74	1284.53	33506.01	5090.89	7001.96	49173.86	36836.98	19957.22	18912.35	17691.55	8968.47	18036.83	10371.64	10010.64	6860.96	11507.23	2048.5	28509.57	27641.95	45863.34	27368.48	14746.43	10053.76	9958.24	9835.14
vOTU29	480.63	566.77	1099.77	589.85	19438.14	20460.84	24337.21	23238.8	27791.71	23381.68	22609.93	19597.5	22933.16	24543.43	21866.2	16021.58	27944.85	18878.68	22904.58	23973.2	580.43	803.32	849.28	891.07	20858.08	24495.58	20518.95	23858.78	25291.46	26011.62	25558.33	27427.33	24336.07	23959.69	16591.6	18900.15	17448.61	24635.57	20562.41	25793.71
vOTU3	6621.57	6739.55	7727.64	7531.57	35326.93	37553.93	42632.82	34999.82	46037.12	40230.38	37105.14	30874.33	52910.41	49807.98	38452.88	35747.47	53243.45	34727.67	60028.9	49903.22	11051.67	12787.34	15882.43	12894.69	33070.43	38698.51	31293.69	39596.47	36975.38	39866.54	35375.24	41862.11	48628.51	43278.65	33834.79	49395	27251.82	36998.66	37957.93	37627.89
vOTU30	16.84	19.86	5.69	50.38	34.91	15.96	6.08	24.62	0	0	12.71	6.66	6.29	0	0	29.67	13.69	8.92	0	11.92	18250.76	18741.74	22809.36	29712.13	20.79	72.35	19.53	43.52	36.46	14.56	13.51	8.37	19.52	0	17.08	31.74	0	0	25.8	6.96
vOTU31	7245.24	12231.18	11240.13	12776.08	126.49	0	165.14	445.93	214.99	0	115.16	0	113.99	315.64	0	268.7	123.97	80.8	56.79	53.99	6824.8	8544.5	13206.84	11315.98	0	145.62	58.95	0	0	263.67	0	303.37	117.84	116.84	61.89	0	97.81	62.13	0	0
vOTU32	1694.47	2756.98	4263.24	2794.67	16791.09	18903.18	16596.33	14422.63	28054.72	22646.19	18947.04	17512.45	21640.18	22015.27	23207.38	22557.24	18687.66	16496.91	25394.37	19890.38	3825.34	3670.12	7504.39	6041.92	13371.83	17118.9	13727.85	18782.91	16567.35	23321.96	17511.14	16466.58	22205.32	17679.28	15595.97	27299.17	13038.65	18730.33	18337.62	18439.37
